National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Hungary	100-Holding Account	Budapest Airport ZRt. 	21	01-10-044665	open	Account holder	Budapest Airport ZRt.	Nemzetközi Repülõtér	BUD	1185	Budapest	Hungary	21	Budapest Airport Rt.	HU-UHG5534-1-04	2005-01-01					Nemzetközi Repülõtér	BUD	1185	Budapest	HU	47.439276485	19.262651848	20-Combustion of fuels	Gábor Szarvas	Nemzetközi Repülõtér	BUD	1185	Budapest	HU	19520	19953	19520	18861	19520	16173	19799	15844	19799	16208	19799	17183	19799	16763	19799	15130	13063	12855	11691	10605	10355	10960	9060		7804		6590		5415		4283		
Hungary	100-Holding Account	Budapesti Eromu ZRt. 	22	01-10-041825	open	Account holder	Budapesti Eromu ZRt.	Budafoki utca	52	1117	Budapest	Hungary	22	BERT Rt. Kelenföldi Komb.Cikl. Gázt.Hoszolg. Eromu	HU-UHG5182-1-04	2005-01-01				1.(c)	Budafoki utca	52	1117	Budapest	HU	47.463528196	19.055631986	20-Combustion of fuels	Balázs Major	Budafoki utca	52	1117	Budapest	HU	387421	397486	387421	399814	387421	411282	332714	400405	332714	325851	336120	353064	336120	280147	336120	229383	169016203853****	200377	140795	187235	115464	218200	96589		83258		70358		57875		45841		
Hungary	100-Holding Account	Budapesti Eromu ZRt. 	23	01-10-041825	open	Account holder	Budapesti Eromu ZRt.	Budafoki utca	52	1117	Budapest	Hungary	23	BERT Rt. Kispesti Komb. Cikl. Gázt. Hoszolg. Eromu	HU-UHG5248-1-04	2005-01-01				1.(c)	Nefelejcs út	2	1182	Budapest	HU	47.458028121	19.164239078	20-Combustion of fuels	Balázs Major	Nefelejcs út	2	1182	Budapest	HU	291740	271315	291740	286146	291740	246806	253308	338463	253308	222628	253720	227862	253720	215976	253720	214009	132902108238****	199614	108700	189623	87230	207504	72927		62861		53121		43696		34611		
Hungary	100-Holding Account	Budapesti Eromu ZRt. 	24	01-10-041825	open	Account holder	Budapesti Eromu ZRt.	Budafoki utca	52	1117	Budapest	Hungary	24	BERT Rt. Újpesti Komb. Cikl. Gázt. Hoszolg. Eromu	HU-UHG5250-1-04	2005-01-01				1.(c)	Tó utca	7	1045	Budapest	HU	47.553534868	19.10327694	20-Combustion of fuels	Balázs Major	Tó utca	7	1045	Budapest	HU	300777	297694	300777	304721	300777	301530	270628	364012	270628	304314	271069	289080	271069	261059	271069	261228	148744111931****	244390	122797	228257	115291	245982	102935		90957		79355		68117		57272		
Hungary	100-Holding Account	Budapesti Eromu ZRt. 	25	01-10-041825	closed	Account holder	Budapesti Eromu ZRt.	Budafoki utca	52	1117	Budapest	Hungary	25	BERT Rt. Révész Futomu.	HU-UHG5251-1-04	2005-01-01	2012-08-23			1.(c)	Révész utca	18	1138	Budapest	HU	47.527445125	19.056703235	1-Combustion installations with a rated thermal input exceeding 20 MW	Balázs Major	Révész utca	18	1138	Budapest	HU	58647	47172	58647	44201	58647	24037	43446	12380	43446	10814	43446	11639	43446	7290	43446	224																	
Hungary	100-Holding Account	Budapesti Eromu ZRt. 	26	01-10-041825	closed	Account holder	Budapesti Eromu ZRt.	Budafoki utca	52	1117	Budapest	Hungary	26	BERT Rt. Kobánya Eromu.	HU-UHG5253-1-04	2005-01-01	2010-07-20				Bihari utca	10/a	1107	Budapest	HU	47.479148866	19.118802821	1-Combustion installations with a rated thermal input exceeding 20 MW	Balázs Major	Bihari utca	10/a	1107	Budapest	HU	28679	0	28679	0	28679	0	0	0	0	0	0		0		0																		
Hungary	100-Holding Account	Budapesti Távhoszolgáltató ZRt. 	27	01-10-042582	open	Account holder	Budapesti Távhoszolgáltató ZRt.	Kalotaszeg utca	31	1116	Budapest	Hungary	27	Észak-budai Futomu	HU-UHG5163-1-04	2005-01-01				1.(c)	Kunigunda utca	49	1037	Budapest	HU	47.564242068	19.037453095	20-Combustion of fuels	Tibor Orbán	Kunigunda utca	49	1037	Budapest	HU	89838	84407	89838	75366	89838	53339	77741	27299	77741	37164	77741	35112	77741	42878	77741	23206	23671	14808	10699	10225	9495	9378	8328		7198		6102		5043		4024		
Hungary	100-Holding Account	Budapesti Távhoszolgáltató ZRt. 	28	01-10-042582	closed	Account holder	Budapesti Távhoszolgáltató ZRt.	Kalotaszeg utca	31	1116	Budapest	Hungary	28	Óbudai Futomu	HU-UHG5165-1-04	2005-01-01	2010-03-09				Zápor utca	70	1032	Budapest	HU	47.539776386	19.034947462	1-Combustion installations with a rated thermal input exceeding 20 MW	Tibor Orbán	Zápor utca	70	1032	Budapest	HU	56211	57348	56211	55083	56211	24412	52819	25	0	0	0		0		0																		
Hungary	100-Holding Account	Budapesti Távhoszolgáltató ZRt. 	29	01-10-042582	open	Account holder	Budapesti Távhoszolgáltató ZRt.	Kalotaszeg utca	31	1116	Budapest	Hungary	29	Újpalotai Futomu	HU-UHG5166-1-04	2005-01-01				1.(c)	Késmárk utca	8-10	1158	Budapest	HU	47.536800159	19.139042267	20-Combustion of fuels	Tibor Orbán	Késmárk utca	8-10	1158	Budapest	HU	55317	43105	55317	29701	55317	23589	39701	24163	39701	24388	39701	26719	39701	22183	39701	20757	20845	18786	18655	18447	16523	18794	14457		12454		10515		8640		6836		
Hungary	100-Holding Account	Budapesti Távhoszolgáltató ZRt. 	30	01-10-042582	open	Account holder	Budapesti Távhoszolgáltató ZRt.	Kalotaszeg utca	31	1116	Budapest	Hungary	30	Rákoskeresztúri Futomu	HU-UHG5167-1-04	2005-01-01				1.(c)	Gyökér utca	63-65	1173	Budapest	HU	47.477633744	19.245957236	20-Combustion of fuels	Tibor Orbán	Gyökér utca	63-65	1173	Budapest	HU	13415	10719	13415	13537	13415	10654	9872	11132	9872	11592	9872	12291	9872	12258	9872	11578	9303	10168	8325	9027	7374	10600	6452		5558		4693		3856		3051		
